[eating, thinking, thinking, thinking] : 2
[eating, hungry, thinking, thinking] : 1
[eating, hungry, hungry, thinking] : 1
[sleeping, hungry, hungry, hungry] : 2
[sleeping, hungry, hungry, hungry] : 2
[thinking, hungry, hungry, hungry] : 2
[thinking, eating, hungry, hungry] : 2
[thinking, eating, hungry, hungry] : 1
[thinking, eating, hungry, hungry] : 1
[thinking, eating, hungry, hungry] : 1
[sleeping, sleeping, hungry, hungry] : 2
[sleeping, sleeping, hungry, hungry] : 2
[sleeping, sleeping, hungry, hungry] : 2
[sleeping, sleeping, hungry, hungry] : 2
[thinking, thinking, hungry, hungry] : 2
[thinking, thinking, eating, hungry] : 2
[talking, thinking, eating, hungry] : 2
[talking, thinking, eating, hungry] : 1
[talking, thinking, eating, hungry] : 1
[talking, thinking, eating, hungry] : 1
[talking, thinking, eating, hungry] : 1
[talking, thinking, eating, hungry] : 2
[eating, thinking, sleeping, hungry] : 2
[eating, thinking, sleeping, hungry] : 1
[eating, thinking, sleeping, hungry] : 1
[eating, sleeping, sleeping, hungry] : 1
[eating, sleeping, sleeping, hungry] : 1
[eating, thinking, sleeping, hungry] : 1
[eating, thinking, thinking, hungry] : 1
[sleeping, thinking, thinking, hungry] : 2
[sleeping, thinking, thinking, hungry] : 2
[thinking, thinking, thinking, hungry] : 2
[thinking, thinking, thinking, hungry] : 2
[thinking, talking, thinking, eating] : 2
[thinking, talking, thinking, eating] : 2
[thinking, talking, thinking, eating] : 2
[thinking, talking, thinking, eating] : 2
[thinking, talking, thinking, eating] : 1
[thinking, talking, thinking, eating] : 1
[thinking, talking, thinking, eating] : 1
[thinking, talking, thinking, eating] : 2
[thinking, eating, thinking, sleeping] : 2
[thinking, eating, thinking, sleeping] : 1
[thinking, eating, sleeping, sleeping] : 1
[sleeping, eating, sleeping, sleeping] : 1
[sleeping, eating, sleeping, sleeping] : 1
[sleeping, eating, sleeping, sleeping] : 1
[thinking, eating, sleeping, sleeping] : 1
[thinking, eating, sleeping, sleeping] : 2
[thinking, sleeping, sleeping, thinking] : 2
[thinking, sleeping, sleeping, thinking] : 2
[thinking, sleeping, thinking, thinking] : 2
[thinking, sleeping, thinking, thinking] : 2
[thinking, sleeping, thinking, thinking] : 2
[thinking, sleeping, thinking, thinking] : 2
[thinking, thinking, thinking, thinking] : 2
[thinking, thinking, talking, thinking] : 2
[thinking, thinking, talking, thinking] : 2
[thinking, thinking, talking, thinking] : 2
[thinking, thinking, talking, thinking] : 2
[talking, thinking, thinking, thinking] : 2
[talking, thinking, eating, thinking] : 2
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 1
[talking, thinking, eating, thinking] : 2
[eating, sleeping, sleeping, sleeping] : 2
[eating, sleeping, sleeping, sleeping] : 2
[eating, sleeping, sleeping, sleeping] : 1
[eating, sleeping, sleeping, sleeping] : 1
[eating, sleeping, sleeping, sleeping] : 1
[eating, sleeping, sleeping, thinking] : 1
